osmid,y,x,street_count,highway,railway,junction,geometry
312807161,51.687257,39.1697821,3,,,,POINT (39.1697821 51.687257)
313070921,51.6208978,39.2358225,3,,,,POINT (39.2358225 51.6208978)
313070930,51.6205518,39.2348763,3,,,,POINT (39.2348763 51.6205518)
313070953,51.6223467,39.2352618,3,,,,POINT (39.2352618 51.6223467)
313072666,51.6737111,39.1845776,3,,,,POINT (39.1845776 51.6737111)
313072672,51.6735231,39.184605,3,,,,POINT (39.184605 51.6735231)
313073021,51.6738685,39.1901377,4,,,,POINT (39.1901377 51.6738685)
313073028,51.6724229,39.187085,3,,,,POINT (39.187085 51.6724229)
313508900,51.7132495,39.1856067,3,,,,POINT (39.1856067 51.7132495)
313508906,51.7152311,39.1804411,3,,,,POINT (39.1804411 51.7152311)
313509205,51.7137915,39.1800997,3,,,,POINT (39.1800997 51.7137915)
313509206,51.7132277,39.1794432,3,,,,POINT (39.1794432 51.7132277)
313509207,51.712857,39.1744315,3,,,,POINT (39.1744315 51.712857)
313513759,51.757561,39.1726736,3,,,,POINT (39.1726736 51.757561)
316990878,51.6339316,39.263284,4,traffic_signals,,,POINT (39.263284 51.6339316)
316990908,51.6611981,39.2776176,3,traffic_signals,,,POINT (39.2776176 51.6611981)
317026170,51.671368,39.1930214,4,traffic_signals,,,POINT (39.1930214 51.671368)
317034708,51.713277,39.1806466,3,,,,POINT (39.1806466 51.713277)
317034715,51.7126611,39.180715,3,,,,POINT (39.180715 51.7126611)
317265381,51.692218,39.2084247,3,,,,POINT (39.2084247 51.692218)
317267010,51.7028298,39.1820217,4,,,,POINT (39.1820217 51.7028298)
317267021,51.7028181,39.1812787,4,traffic_signals,,,POINT (39.1812787 51.7028181)
317269719,51.6624969,39.1991846,4,traffic_signals,,,POINT (39.1991846 51.6624969)
317269727,51.6566945,39.1894273,3,,,,POINT (39.1894273 51.6566945)
317270639,51.6754436,39.2091357,3,,,,POINT (39.2091357 51.6754436)
317270640,51.6753511,39.2090692,3,,,,POINT (39.2090692 51.6753511)
317270643,51.6757343,39.208715,3,,,,POINT (39.208715 51.6757343)
317270644,51.6755043,39.2084978,3,,,,POINT (39.2084978 51.6755043)
317270645,51.6770327,39.2028422,3,traffic_signals,,,POINT (39.2028422 51.6770327)
317272350,51.6647252,39.2047275,3,,,,POINT (39.2047275 51.6647252)
317600238,51.6987833,39.1964126,4,,,,POINT (39.1964126 51.6987833)
317859482,51.6464519,39.1838686,3,traffic_signals,,,POINT (39.1838686 51.6464519)
317860156,51.6743157,39.2149561,3,,,,POINT (39.2149561 51.6743157)
317860269,51.6558736,39.1872256,5,traffic_signals,,,POINT (39.1872256 51.6558736)
317861180,51.6653631,39.1957036,4,traffic_signals,,,POINT (39.1957036 51.6653631)
317861960,51.6682106,39.1920096,4,traffic_signals,,,POINT (39.1920096 51.6682106)
317863064,51.6981443,39.1826137,4,traffic_signals,,,POINT (39.1826137 51.6981443)
317863634,51.6589572,39.2063601,4,,,,POINT (39.2063601 51.6589572)
317864207,51.6612036,39.2172655,3,traffic_signals,,,POINT (39.2172655 51.6612036)
317864209,51.6952838,39.1829794,4,traffic_signals,,,POINT (39.1829794 51.6952838)
317864212,51.6952756,39.1828008,4,traffic_signals,,,POINT (39.1828008 51.6952756)
317865769,51.6827977,39.2156415,4,traffic_signals,,,POINT (39.2156415 51.6827977)
317975454,51.6570778,39.1967666,4,,,,POINT (39.1967666 51.6570778)
317975459,51.651769,39.2080892,4,,,,POINT (39.2080892 51.651769)
317975461,51.6526719,39.2089268,3,,,,POINT (39.2089268 51.6526719)
318203508,51.6468798,39.2984422,3,,,,POINT (39.2984422 51.6468798)
318218986,51.6745051,39.2037368,4,,,,POINT (39.2037368 51.6745051)
318218987,51.6734868,39.2076384,4,,,,POINT (39.2076384 51.6734868)
318220285,51.6751201,39.2013417,3,,,,POINT (39.2013417 51.6751201)
318220607,51.6737419,39.1982855,3,,,,POINT (39.1982855 51.6737419)
318313083,51.7011274,39.274409,3,,,,POINT (39.274409 51.7011274)
318313136,51.6987233,39.2677385,3,,,,POINT (39.2677385 51.6987233)
318313137,51.6977106,39.2721664,3,traffic_signals,,,POINT (39.2721664 51.6977106)
